Party,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa,train
0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,TRUE
1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,TRUE
1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,TRUE
1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,FALSE
1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,FALSE
0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,FALSE
1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,TRUE
1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,TRUE
0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,TRUE
1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,TRUE
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,FALSE
1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,FALSE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,FALSE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,TRUE
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,TRUE
1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,FALSE
0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,FALSE
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,TRUE
1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,TRUE
0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,TRUE
0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,FALSE
1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,FALSE
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,TRUE
1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,TRUE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,TRUE
1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,FALSE
1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,TRUE
0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,FALSE
0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,TRUE
0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,TRUE
0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,FALSE
0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,TRUE
0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,TRUE
0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,TRUE
0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,TRUE
0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,TRUE
0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,FALSE
0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,TRUE
0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1,TRUE
1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,TRUE
1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,TRUE
1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,TRUE
1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,TRUE
1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,TRUE
0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,TRUE
1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,FALSE
1,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,TRUE
0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,TRUE
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,TRUE
1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,TRUE
1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,TRUE
1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,TRUE
1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,TRUE
1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,TRUE
1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,TRUE
1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,TRUE
1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,FALSE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,TRUE
1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,TRUE
1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,TRUE
1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,TRUE
1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,TRUE
1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,TRUE
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,FALSE
1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,TRUE
1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,TRUE
1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,TRUE
0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,TRUE
1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,TRUE
0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,TRUE
0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,TRUE
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,FALSE
0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,TRUE
1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,TRUE
1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,TRUE
1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,TRUE
0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,TRUE
1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,TRUE
1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,TRUE
1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,TRUE
0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,TRUE
0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,TRUE
0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,TRUE
1,0,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,TRUE
1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,TRUE
1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,FALSE
1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,TRUE
0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,TRUE
1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,TRUE
0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,TRUE
1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,TRUE
1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,TRUE
1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,TRUE
0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,FALSE
0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,TRUE
1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,TRUE
0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,FALSE
1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,TRUE
1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,TRUE
1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,TRUE
0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,TRUE
1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,TRUE
1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,TRUE
0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,TRUE
0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,TRUE
1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,TRUE
1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1,TRUE
1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,TRUE
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,TRUE
1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,TRUE
1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,TRUE
0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,TRUE
1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,TRUE
1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,TRUE
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,TRUE
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE
1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,TRUE
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,TRUE
1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,TRUE
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,TRUE
1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,TRUE
0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,TRUE
1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,TRUE
0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,FALSE
0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,TRUE
1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,TRUE
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,TRUE
1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,TRUE
0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,TRUE
1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,TRUE
0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,TRUE
1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,TRUE
1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,FALSE
1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,TRUE
1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,TRUE
1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1,TRUE
1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,TRUE
0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,TRUE
1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,TRUE
0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,TRUE
0,1,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,TRUE
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,TRUE
1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,TRUE
1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,TRUE
0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,TRUE
